idSeguro;idSubProduto;DataQuitacao
12903297;179;27/5/2020
13075686;179;12/6/2020
13147190;179;2/6/2020
13063937;179;27/6/2020
12739991;179;27/4/2020
13120695;179;27/6/2020
12912380;179;2/5/2020
13134689;179;27/6/2020
12991023;179;27/5/2020
13026618;179;2/6/2020
12968367;179;7/5/2020
12754957;179;7/5/2020
13129795;179;7/5/2020
12692470;179;2/4/2020
12807727;179;27/4/2020
12727206;179;27/4/2020
13107910;179;12/5/2020
12949148;179;12/6/2020
12816259;179;2/5/2020
13098039;179;27/6/2020
12973966;179;27/6/2020
12822142;179;2/4/2020
13033520;179;2/6/2020
12969706;179;7/3/2020
13051069;179;27/4/2020
13023318;179;17/6/2020
13147978;179;27/6/2020
12829044;179;27/6/2020
12995567;179;27/6/2020
12892319;179;2/5/2020
12791174;179;7/5/2020
12922031;179;27/6/2020
12966489;179;7/5/2020
12847861;179;7/6/2020
13119522;179;22/6/2020
13097488;179;27/6/2020
12921480;179;12/6/2020
12730340;179;12/3/2020
12856961;179;17/5/2020
12935521;179;2/5/2020
12937482;179;2/5/2020
13050518;179;27/5/2020
12717555;179;22/3/2020
12999335;179;7/6/2020
12879534;179;7/5/2020
12690355;179;27/4/2020
12707133;179;7/3/2020
12996284;179;27/5/2020
12444163;179;7/4/2020
12442202;179;2/3/2020
12934899;179;7/4/2020
12968533;179;12/5/2020
12905187;179;2/6/2020
12822059;179;27/4/2020
12762635;179;27/5/2020
12701250;179;2/4/2020
13101138;179;12/6/2020
12701955;179;2/6/2020
13026701;179;27/5/2020
13098205;179;27/6/2020
12807644;179;22/4/2020
12848649;179;7/6/2020
12738101;179;22/3/2020
12797993;179;2/5/2020
13043391;179;2/6/2020
12725316;179;27/6/2020
12756989;179;7/3/2020
13094988;179;27/6/2020
12926504;179;27/5/2020
12879617;179;27/4/2020
12960138;179;12/5/2020
12895619;179;22/5/2020
13030469;179;27/6/2020
12913719;179;7/6/2020
12807093;179;7/4/2020
13073387;179;17/5/2020
13064571;179;22/6/2020
12749850;179;7/4/2020
12742574;179;27/3/2020
12987972;179;7/6/2020
13100587;179;2/5/2020
12785208;179;2/5/2020
12882129;179;7/5/2020
12913802;179;22/4/2020
12949397;179;22/4/2020
12749767;179;7/3/2020
12888012;179;2/5/2020
13156207;179;27/6/2020
13009206;179;27/6/2020
13011167;179;27/4/2020
12864183;179;2/4/2020
12769691;179;27/4/2020
12696155;179;27/2/2020
12723272;179;27/3/2020
12978789;179;2/6/2020
12954338;179;27/3/2020
12933021;179;27/4/2020
12956299;179;7/5/2020
12907652;179;7/6/2020
13064020;179;12/6/2020
12766320;179;7/3/2020
12779058;179;22/6/2020
13017601;179;27/6/2020
12772203;179;27/4/2020
12953082;179;27/4/2020
12818759;179;27/4/2020
12720606;179;7/5/2020
12754240;179;7/5/2020
13076237;179;12/6/2020
12991106;179;12/4/2020
12831544;179;7/6/2020
13094905;179;27/5/2020
12780184;179;7/6/2020
13037241;179;27/5/2020
13116222;179;7/6/2020
13030386;179;2/6/2020
13051703;179;2/6/2020
12814286;179;27/3/2020
12812325;179;27/2/2020
13115061;179;22/5/2020
13087310;179;27/6/2020
12796654;179;27/2/2020
12893036;179;2/5/2020
12926670;179;12/5/2020
12741152;179;27/3/2020
13109178;179;17/6/2020
12985389;179;27/5/2020
12924004;179;27/5/2020
13022708;179;2/5/2020
12929887;179;2/6/2020
12722484;179;7/4/2020
12855717;179;27/4/2020
13127378;179;2/6/2020
13032359;179;22/6/2020
12801986;179;27/4/2020
12775337;179;27/4/2020
12744322;179;27/4/2020
12796103;179;7/5/2020
12880251;179;7/3/2020
12740684;179;2/6/2020
12864817;179;2/5/2020
12886134;179;22/5/2020
12709633;179;27/2/2020
12799320;179;7/6/2020
12923453;179;2/6/2020
12724682;179;12/3/2020
12868034;179;27/5/2020
12823303;179;27/6/2020
12767801;179;22/3/2020
12951287;179;27/5/2020
12445478;179;27/2/2020
12702423;179;27/2/2020
12923536;179;12/4/2020
13046691;179;22/5/2020
12752818;179;27/2/2020
12737384;179;27/3/2020
13129185;179;7/6/2020
13095071;179;27/5/2020
12958189;179;12/4/2020
12997623;179;2/5/2020
12740601;179;27/2/2020
12712649;179;27/2/2020
12841687;179;2/5/2020
12724599;179;2/5/2020
12698655;179;12/6/2020
12811270;179;27/3/2020
13003773;179;12/6/2020
12899002;179;27/5/2020
12741857;179;27/3/2020
13022157;179;2/5/2020
13011813;179;27/4/2020
12912558;179;12/5/2020
12709550;179;22/3/2020
13051330;179;7/6/2020
13089200;179;27/6/2020
12989945;179;7/5/2020
12956311;179;22/6/2020
13033698;179;2/6/2020
12928560;179;7/6/2020
13025540;179;7/6/2020
12939337;179;27/5/2020
12900809;179;7/3/2020
12801903;179;7/4/2020
12823220;179;27/4/2020
12439678;179;7/5/2020
13064666;179;27/6/2020
13003939;179;27/6/2020
13085983;179;7/6/2020
13039297;179;7/5/2020
12893670;179;7/5/2020
12924087;179;27/5/2020
13062859;179;22/6/2020
13014011;179;2/6/2020
12893202;179;22/6/2020
12897124;179;22/6/2020
12727733;179;7/3/2020
12976455;179;2/6/2020
13004490;179;27/4/2020
12451207;179;27/2/2020
12875523;179;27/3/2020
12730950;179;2/3/2020
12777085;179;27/4/2020
12899636;179;22/5/2020
12931309;179;27/6/2020
13124078;179;2/6/2020
12815530;179;27/4/2020
13066544;179;27/4/2020
12953177;179;27/3/2020
12778963;179;2/3/2020
13051798;179;22/5/2020
12766930;179;7/6/2020
12873141;179;2/4/2020
12851256;179;2/3/2020
12697316;179;27/3/2020
12853217;179;7/6/2020
12703199;179;2/5/2020
12878456;179;2/5/2020
12930604;179;27/4/2020
12781345;179;7/6/2020
12948704;179;2/5/2020
12971561;179;27/3/2020
12825098;179;27/3/2020
13108627;179;12/6/2020
12714865;179;7/4/2020
12850551;179;22/4/2020
13114510;179;27/6/2020
13087861;179;27/6/2020
13093744;179;27/6/2020
13090527;179;2/5/2020
12446112;179;2/3/2020
12951370;179;2/5/2020
13098934;179;22/5/2020
12722135;179;27/2/2020
12890619;179;27/5/2020
12707660;179;27/5/2020
12705699;179;12/3/2020
13004122;179;27/4/2020
12449519;179;12/3/2020
13008044;179;27/4/2020
12735862;179;27/2/2020
12834666;179;27/3/2020
13020291;179;27/5/2020
13089834;179;22/5/2020
12831449;179;22/6/2020
12698560;179;27/2/2020
12887402;179;7/3/2020
13034332;179;27/5/2020
12737118;179;27/6/2020
12998523;179;7/5/2020
12927019;179;27/6/2020
12903404;179;22/4/2020
12869556;179;7/3/2020
13076498;179;22/6/2020
13122549;179;2/6/2020
12875706;179;27/3/2020
12777263;179;27/4/2020
12696943;179;27/2/2020
12879451;179;27/6/2020
13061976;179;27/3/2020
13034225;179;7/6/2020
12826615;179;27/3/2020
12896158;179;12/5/2020
12701884;179;27/4/2020
12693726;179;7/3/2020
12720067;179;27/3/2020
12920224;179;27/4/2020
12953621;179;7/4/2020
12882117;179;22/5/2020
12797454;179;27/3/2020
12725950;179;7/3/2020
13086510;179;22/6/2020
12441568;179;27/3/2020
12864722;179;22/3/2020
12818771;179;2/4/2020
13113793;179;12/6/2020
12713366;179;7/3/2020
13006978;179;2/6/2020
12792981;179;27/6/2020
12929792;179;22/4/2020
12951109;179;7/4/2020
12814298;179;27/6/2020
12931753;179;12/5/2020
12765781;179;27/5/2020
12874089;179;7/4/2020
12876050;179;22/5/2020
12728462;179;2/4/2020
12953070;179;22/2/2020
12867234;179;27/6/2020
12967111;179;2/4/2020
12967745;179;22/5/2020
12743830;179;27/3/2020
12877306;179;2/5/2020
12712744;179;12/5/2020
13098744;179;27/5/2020
12725867;179;7/3/2020
12799332;179;2/6/2020
12812070;179;27/5/2020
12833671;179;17/4/2020
13012257;179;7/6/2020
13077564;179;27/6/2020
12715043;179;12/6/2020
12813747;179;12/4/2020
12874640;179;27/4/2020
12731045;179;2/3/2020
13036607;179;7/4/2020
13062598;179;7/5/2020
12716299;179;2/4/2020
12953153;179;2/5/2020
12933560;179;7/5/2020
12767896;179;2/3/2020
13009828;179;22/4/2020
12698199;179;27/2/2020
12808853;179;27/2/2020
12810814;179;2/6/2020
13001296;179;2/6/2020
13022613;179;27/6/2020
13149234;179;22/6/2020
12958094;179;27/4/2020
13030457;179;27/6/2020
12872258;179;7/5/2020
12762718;179;2/3/2020
12808349;179;2/5/2020
12973427;179;2/6/2020
13059630;179;7/5/2020
12998245;179;12/6/2020
12964611;179;7/6/2020
12446124;179;27/4/2020
12714960;179;7/3/2020
12865356;179;7/3/2020
12793603;179;7/4/2020
13116844;179;22/6/2020
12829666;179;7/3/2020
13057432;179;7/6/2020
13063315;179;2/6/2020
12771030;179;27/2/2020
12930426;179;27/3/2020
12741318;179;12/6/2020
12874723;179;27/3/2020
13138996;179;27/5/2020
13050530;179;27/5/2020
12693560;179;27/2/2020
12832332;179;7/4/2020
12783247;179;27/3/2020
13087849;179;2/5/2020
12709562;179;12/6/2020
12869124;179;27/3/2020
12789130;179;2/5/2020
13044647;179;27/6/2020
13148517;179;27/6/2020
12698116;179;27/2/2020
12911841;179;27/5/2020
12927843;179;27/5/2020
12723977;179;7/3/2020
12801364;179;27/4/2020
12770396;179;2/4/2020
12857595;179;27/5/2020
12788579;179;27/2/2020
